M1	build	ng	-	pass
M1	e2e	board.spec.ts	filters by severity and shows the details of a clicked incident	fail
M1	e2e	board.spec.ts	is operable by keyboard alone, with a visible focus indicator	pass
M1	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > empty	pass
M1	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > failed	pass
M1	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > loading	pass
M1	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > stale keeps the table and says how old it is	pass
M1	e2e	smoke.spec.ts	/ mounts with no uncaught error and a non-empty root	pass
M1	e2e	smoke.spec.ts	/board mounts with no uncaught error and a non-empty root	pass
M1	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns null when confirmPassword is empty	pass
M1	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns null when passwords match	pass
M1	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns passwordMismatch when passwords differ	pass
M1	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits null for an available name	pass
M1	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits null immediately for an empty value	pass
M1	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits usernameTaken for a taken name	pass
M1	jest	advanced-form.validators.spec.ts	usernameTakenValidator matches taken names case-insensitively	pass
M1	jest	board.spec.ts	Board announces a failed load as an alert and renders no table	pass
M1	jest	board.spec.ts	Board keeps the table and says how old stale data is	pass
M1	jest	board.spec.ts	Board lists every incident in a table with column headers, and shows severity as visible text	fail
M1	jest	board.spec.ts	Board narrows the rows to the chosen severity and marks that filter as pressed	pass
M1	jest	board.spec.ts	Board says so for loading and empty, without a table	pass
M1	jest	board.spec.ts	Board shows the selected incident's details with its severity spelled out	pass
M1	jest	board.spec.ts	Board stops showing details for an incident the active filter hides	pass
M1	jest	format-age.spec.ts	formatAge never goes negative when the instant is in the future	pass
M1	jest	format-age.spec.ts	formatAge shows hours and remaining minutes under a day, and drops a zero remainder	pass
M1	jest	format-age.spec.ts	formatAge shows minutes under an hour	pass
M1	jest	format-age.spec.ts	formatAge shows whole days from 24 hours	pass
M1	jest	incident-source.spec.ts	IncidentSource reports each non-data scenario as its own status	pass
M1	jest	incident-source.spec.ts	IncidentSource serves the same incidents for the stale scenario, marked with when they were last refreshed	pass
M1	jest	incident-source.spec.ts	IncidentSource serves the whole fixture, fresh, with no scenario or an unknown one	pass
M1	jest	smoke-routes.spec.ts	smoke route coverage /board is covered by e2e/smoke-routes.ts	pass
M1	jest	smoke-routes.spec.ts	smoke route coverage every routed path has a route with a component (sanity on the fixture itself)	pass
M1	jest	smoke-routes.spec.ts	smoke route coverage root ("/") is covered even though the router only declares a redirect	pass
M1	lint	eslint	-	pass
baseline	build	ng	-	pass
baseline	e2e	board.spec.ts	filters by severity and shows the details of a clicked incident	pass
baseline	e2e	board.spec.ts	is operable by keyboard alone, with a visible focus indicator	pass
baseline	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > empty	pass
baseline	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > failed	pass
baseline	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > loading	pass
baseline	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > stale keeps the table and says how old it is	pass
baseline	e2e	smoke.spec.ts	/ mounts with no uncaught error and a non-empty root	pass
baseline	e2e	smoke.spec.ts	/board mounts with no uncaught error and a non-empty root	pass
baseline	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns null when confirmPassword is empty	pass
baseline	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns null when passwords match	pass
baseline	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns passwordMismatch when passwords differ	pass
baseline	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits null for an available name	pass
baseline	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits null immediately for an empty value	pass
baseline	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits usernameTaken for a taken name	pass
baseline	jest	advanced-form.validators.spec.ts	usernameTakenValidator matches taken names case-insensitively	pass
baseline	jest	board.spec.ts	Board announces a failed load as an alert and renders no table	pass
baseline	jest	board.spec.ts	Board keeps the table and says how old stale data is	pass
baseline	jest	board.spec.ts	Board lists every incident in a table with column headers, and shows severity as visible text	pass
baseline	jest	board.spec.ts	Board narrows the rows to the chosen severity and marks that filter as pressed	pass
baseline	jest	board.spec.ts	Board says so for loading and empty, without a table	pass
baseline	jest	board.spec.ts	Board shows the selected incident's details with its severity spelled out	pass
baseline	jest	board.spec.ts	Board stops showing details for an incident the active filter hides	pass
baseline	jest	format-age.spec.ts	formatAge never goes negative when the instant is in the future	pass
baseline	jest	format-age.spec.ts	formatAge shows hours and remaining minutes under a day, and drops a zero remainder	pass
baseline	jest	format-age.spec.ts	formatAge shows minutes under an hour	pass
baseline	jest	format-age.spec.ts	formatAge shows whole days from 24 hours	pass
baseline	jest	incident-source.spec.ts	IncidentSource reports each non-data scenario as its own status	pass
baseline	jest	incident-source.spec.ts	IncidentSource serves the same incidents for the stale scenario, marked with when they were last refreshed	pass
baseline	jest	incident-source.spec.ts	IncidentSource serves the whole fixture, fresh, with no scenario or an unknown one	pass
baseline	jest	smoke-routes.spec.ts	smoke route coverage /board is covered by e2e/smoke-routes.ts	pass
baseline	jest	smoke-routes.spec.ts	smoke route coverage every routed path has a route with a component (sanity on the fixture itself)	pass
baseline	jest	smoke-routes.spec.ts	smoke route coverage root ("/") is covered even though the router only declares a redirect	pass
baseline	lint	eslint	-	pass
